iso_alpha3,country,population,whostandard,natstandard,pm2021,aq_monitoring,open_data,aq_standard,number_of_locations,monitor_density,aq_mon_dummy,open_data_dummy,aq_std_dummy,pm_dummy,pop_dummy,num_loc_dummy,mon_dens_dummy,opportunity_score
TKM,Turkmenistan,5554973,5,NA,10.37,N,N,N,3,5.400566303382572e-7,1,1,1,0,1,0,0,4
MCO,Monaco,15795,5,NA,10.12,Y,N,N,0,0,0,1,1,0,0,1,1,4
NER,Niger,23602767,5,NA,8.87,N,N,N,4,1.694716555902111e-7,1,1,1,0,1,0,0,4
MAR,Morocco,35800311,5,NA,8.83,Y,N,N,2,5.58654364762362e-8,0,1,1,0,1,0,1,4
MDV,Maldives,253010,5,NA,8.75,Y,N,N,0,0,0,1,1,0,0,1,1,4
URY,Uruguay,3380971,5,NA,8.41,Y,N,N,0,0,0,1,1,0,0,1,1,4
BRN,Brunei,463802,5,NA,6.16,Y,N,N,0,0,0,1,1,0,0,1,1,4
MUS,Mauritius,1339718,5,NA,6.07,Y,N,N,0,0,0,1,1,0,0,1,1,4
PLW,Palau,19097,5,12,2.89,N,N,Y,0,0,1,1,0,0,0,1,1,4
CPV,Cabo Verde,554255,5,NA,2.57,Y,N,N,0,0,0,1,1,0,0,1,1,4
BGD,Bangladesh,164804810,5,15,73.96,Y,N,Y,47,2.8518585106830316e-7,0,1,0,1,1,0,0,3
IND,India,1338260837,5,40,58.7,Y,N,Y,1022,7.636777313838408e-7,0,1,0,1,1,0,0,3
PAK,Pakistan,238039784,5,15,44.73,Y,N,Y,30,1.2602935314375852e-7,0,1,0,1,1,0,0,3
CHN,China,1402508466,5,35,30.2,Y,N,Y,1874,1.3361773175920352e-6,0,1,0,1,1,0,0,3
QAT,Qatar,2445028,5,NA,30.05,Y,N,N,6,2.453959627456209e-6,0,1,1,1,0,0,0,3
SLV,El Salvador,6485597,5,15,25.84,Y,N,Y,2,3.0837562062521e-7,0,1,0,1,1,0,0,3
VNM,Vietnam,102577688,5,25,25.8,Y,N,Y,50,4.87435435277114e-7,0,1,0,1,1,0,0,3
SAU,Saudi Arabia,33434409,5,15,25.03,Y,N,Y,7,2.093651483416381e-7,0,1,0,1,1,0,0,3
PER,Peru,32136270,5,25,24.25,Y,N,Y,116,3.609628622114514e-6,0,1,0,1,1,0,0,3
THA,Thailand,69322864,5,15,23.19,Y,N,Y,323,4.659357409122624e-6,0,1,0,1,1,0,0,3
ZAF,South Africa,56955067,5,20,21.06,Y,N,Y,165,2.897020558328902e-6,0,1,0,1,1,0,0,3
XKO,Kosovo,1930871,5,NA,20.79,Y,N,N,28,1.4501227684293772e-5,0,1,1,1,0,0,0,3
ARM,Armenia,3019699,5,NA,19.51,Y,N,N,7,2.318111838299115e-6,0,1,1,1,0,0,0,3
LKA,Sri Lanka,22831388,5,15,18.79,Y,N,Y,18,7.883883362675979e-7,0,1,0,1,1,0,0,3
IDN,Indonesia,271983396,5,15,18.76,Y,N,Y,67,2.463385669322255e-7,0,1,0,1,1,0,0,3
PHL,Philippines,108032572,5,25,18.34,Y,N,Y,21,1.9438581912129243e-7,0,1,0,1,1,0,0,3
KEN,Kenya,54600463,5,35,17.44,Y,N,Y,28,5.128161642145782e-7,0,1,0,1,1,0,0,3
KWT,Kuwait,3010781,5,NA,17.16,Y,N,N,11,3.6535370722746026e-6,0,1,1,1,0,0,0,3
ETH,Ethiopia,110966009,5,NA,16.96,Y,Y,N,28,2.523295219169322e-7,0,0,1,1,1,0,0,3
TWN,Taiwan,23471731,5,NA,16.16,Y,Y,N,68,2.8971020501214846e-6,0,0,1,1,1,0,0,3
ECU,Ecuador,17062470,5,15,16.01,Y,N,Y,15,8.79122424830637e-7,0,1,0,1,1,0,0,3
KGZ,Kyrgyzstan,5890078,5,5,14.73,Y,N,Y,27,4.583980042369558e-6,0,1,0,1,1,0,0,3
MDA,Moldova,3329201,5,25,14.69,Y,N,Y,1,3.003723716291086e-7,0,1,0,1,0,1,0,3
UKR,Ukraine,43666672,5,25,14.58,Y,N,Y,10,2.2900760561739168e-7,0,1,0,1,1,0,0,3
JAM,Jamaica,2782704,5,15,13.02,Y,N,Y,1,3.593626918278049e-7,0,1,0,1,0,1,0,3
ITA,Italy,61859348,5,25,12.98,Y,N,Y,196,3.1684782710609884e-6,0,1,0,1,1,0,0,3
ISR,Israel,8893128,5,25,12.55,Y,N,Y,18,2.024034737833527e-6,0,1,0,1,1,0,0,3
RUS,Russia,141131855,5,25,11.27,Y,N,Y,17,1.204547336248078e-7,0,1,0,1,1,0,0,3
ARG,Argentina,45888555,5,15,11.15,Y,N,Y,12,2.6150311335800395e-7,0,1,0,1,1,0,0,3
TLS,Timor-Leste,1393234,5,NA,10.53,N,N,N,3,2.153263558023993e-6,1,1,1,0,0,0,0,3
BLZ,Belize,389706,5,NA,10.41,N,N,N,5,1.2830184805981945e-5,1,1,1,0,0,0,0,3
